iter	Passed	Remaining
0	170	33844
1	313	31025
2	461	30294
3	609	29864
4	751	29311
5	928	30009
6	1073	29606
7	1225	29420
8	1369	29060
9	1519	28869
10	1659	28519
11	1803	28255
12	1943	27963
13	2118	28148
14	2261	27891
15	2400	27609
16	2555	27512
17	2699	27299
18	2831	26972
19	2979	26817
20	3161	26951
21	3292	26639
22	3435	26436
23	3577	26237
24	3706	25942
25	3855	25803
26	3989	25563
27	4125	25343
28	4310	25416
29	4437	25143
30	4593	25044
31	4732	24847
32	4868	24635
33	5007	24448
34	5147	24265
35	5304	24164
36	5451	24018
37	5612	23928
38	5749	23733
39	5861	23445
40	5993	23244
41	6128	23056
42	6263	22869
43	6440	22835
44	6577	22655
45	6701	22435
46	6834	22247
47	6981	22108
48	7127	21963
49	7268	21805
50	7412	21654
51	7546	21478
52	7670	21274
53	7805	21103
54	7935	20921
55	8065	20739
56	8198	20568
57	8331	20398
58	8487	20283
59	8637	20154
60	8764	19972
61	8912	19838
62	9024	19625
63	9161	19468
64	9288	19290
65	9408	19101
66	9565	18988
67	9727	18881
68	9855	18711
69	9976	18527
70	10099	18350
71	10226	18179
72	10368	18039
73	10497	17874
74	10629	17715
75	10802	17624
76	10945	17484
77	11083	17335
78	11192	17142
79	11379	17068
80	11501	16896
81	11610	16708
82	11734	16541
83	11904	16439
84	12029	16275
85	12178	16143
86	12297	15972
87	12420	15808
88	12549	15651
89	12689	15509
90	12831	15369
91	12978	15235
92	13106	15079
93	13253	14945
94	13379	14787
95	13537	14665
96	13660	14505
97	13780	14343
98	13915	14197
99	14085	14085
100	14209	13928
101	14349	13786
102	14487	13643
103	14615	13490
104	14750	13345
105	14883	13198
106	15017	13052
107	15175	12927
108	15327	12796
109	15466	12654
110	15602	12510
111	15725	12355
112	15868	12217
113	16195	12217
114	16342	12078
115	16466	11923
116	16609	11782
117	16755	11643
118	16871	11484
119	17010	11340
120	17139	11190
121	17298	11059
122	17430	10912
123	17580	10775
124	17703	10622
125	17835	10474
126	17953	10319
127	18082	10171
128	18224	10030
129	18402	9908
130	18524	9757
131	18660	9613
132	18802	9471
133	18946	9331
134	19098	9195
135	19244	9056
136	19410	8926
137	19568	8791
138	19699	8645
139	19828	8497
140	19967	8355
141	20093	8207
142	20224	8061
143	20361	7918
144	20504	7777
145	20656	7640
146	20771	7488
147	20911	7347
148	21058	7207
149	21185	7061
150	21318	6917
151	21451	6774
152	21621	6641
153	21772	6503
154	21917	6363
155	22060	6222
156	22192	6078
157	22316	5932
158	22440	5786
159	22572	5643
160	22734	5507
161	22856	5361
162	23000	5220
163	23141	5079
164	23273	4936
165	23397	4792
166	23538	4651
167	23687	4511
168	23853	4375
169	23982	4232
170	24118	4090
171	24266	3950
172	24404	3808
173	24544	3667
174	24681	3525
175	24854	3389
176	24986	3246
177	25116	3104
178	25255	2962
179	25410	2823
180	25568	2683
181	25697	2541
182	25836	2400
183	26011	2261
184	26141	2119
185	26273	1977
186	26396	1835
187	26544	1694
188	26677	1552
189	26802	1410
190	26947	1269
191	27121	1130
192	27251	988
193	27388	847
194	27510	705
195	27645	564
196	27781	423
197	27932	282
198	28087	141
199	28220	0
