iter	Passed	Remaining
0	649	129343
1	907	89815
2	1138	74782
3	1385	67880
4	1555	60676
5	1788	57824
6	2020	55715
7	2254	54096
8	2503	53126
9	2733	51931
10	2924	50241
11	3132	49070
12	3306	47566
13	3455	45915
14	3625	44718
15	3808	43800
16	3999	43058
17	4300	43485
18	4551	43358
19	4772	42949
20	4968	42354
21	5073	41045
22	5235	40288
23	5354	39266
24	5532	38730
25	5633	37700
26	5732	36729
27	5868	36050
28	6075	35826
29	6267	35515
30	6469	35270
31	6670	35020
32	6859	34711
33	7100	34668
34	7363	34715
35	7474	34052
36	7631	33620
37	7789	33209
38	7969	32900
39	8170	32681
40	8388	32531
41	8578	32272
42	8733	31886
43	8840	31342
44	8969	30896
45	9147	30625
46	9342	30414
47	9538	30205
48	9682	29837
49	9867	29603
50	10027	29296
51	10129	28830
52	10322	28629
53	10507	28407
54	10709	28233
55	10893	28012
56	11091	27826
57	11240	27519
58	11388	27217
59	11542	26932
60	11686	26629
61	11818	26306
62	11982	26056
63	12182	25887
64	12349	25649
65	12490	25360
66	12618	25049
67	12835	24915
68	13033	24745
69	13194	24503
70	13463	24461
71	13672	24306
72	13913	24205
73	14138	24072
74	14281	23802
75	14452	23580
76	14780	23610
77	15110	23634
78	15271	23390
79	15541	23311
80	15764	23160
81	15945	22946
82	16133	22742
83	16424	22681
84	16646	22522
85	16841	22324
86	17040	22133
87	17224	21921
88	17464	21781
89	17708	21643
90	17860	21393
91	17980	21107
92	18203	20943
93	18448	20803
94	18702	20670
95	18984	20566
96	19180	20366
97	19423	20216
98	19689	20087
99	19907	19907
100	20131	19732
101	20376	19577
102	20687	19482
103	20914	19305
104	21186	19168
105	21355	18937
106	21589	18764
107	21766	18541
108	22018	18382
109	22245	18200
110	22493	18035
111	22727	17857
112	22944	17665
113	23163	17474
114	23461	17340
115	23835	17259
116	24054	17064
117	24299	16886
118	24484	16665
119	24665	16443
120	24776	16176
121	24890	15913
122	25012	15658
123	25177	15431
124	25425	15255
125	25677	15080
126	25933	14906
127	26080	14670
128	26341	14497
129	26593	14319
130	26711	14069
131	26940	13878
132	27247	13726
133	27462	13526
134	27655	13315
135	27831	13097
136	28055	12901
137	28224	12680
138	28390	12459
139	28623	12267
140	28784	12044
141	28985	11838
142	29221	11647
143	29466	11459
144	29675	11256
145	29952	11078
146	30113	10857
147	30383	10675
148	30651	10491
149	30904	10301
150	31079	10085
151	31297	9883
152	31610	9710
153	31910	9531
154	32131	9328
155	32463	9156
156	32709	8958
157	32977	8766
158	33219	8566
159	33455	8363
160	33624	8144
161	33806	7930
162	34092	7738
163	34261	7520
164	34345	7285
165	34476	7061
166	34713	6859
167	34904	6648
168	35112	6440
169	35251	6220
170	35382	6000
171	35587	5793
172	35732	5576
173	35904	5365
174	36119	5159
175	36357	4957
176	36565	4751
177	36758	4543
178	36948	4334
179	37140	4126
180	37364	3922
181	37567	3715
182	37748	3506
183	37898	3295
184	38049	3085
185	38212	2876
186	38324	2664
187	38496	2457
188	38706	2252
189	38877	2046
190	39093	1842
191	39258	1635
192	39418	1429
193	39617	1225
194	39814	1020
195	40003	816
196	40167	611
197	40342	407
198	40544	203
199	40770	0
